id,agent_name,task_type,execution_time_ms,success,error_message,timestamp
1,DIRECTOR,planning,145.2,t,,2025-08-30 06:35:33.184261
2,SECURITY,audit,892.5,t,,2025-08-30 06:35:33.184261
3,OPTIMIZER,performance,234.1,t,,2025-08-30 06:35:33.184261
34,OPTIMIZER,performance_test,168.96653175354004,t,,2025-08-30 06:53:31.8941
35,SHADOWGIT,commit,44.46601867675781,t,,2025-08-30 07:06:35.503259
36,SHADOWGIT,commit,51.09810829162598,t,,2025-08-30 07:06:44.607049
37,SHADOWGIT,test,1.947164535522461,t,,2025-08-30 07:12:37.230244
38,SHADOWGIT,commit,58.878421783447266,t,,2025-08-30 07:32:12.437642
39,SHADOWGIT,commit,52.47306823730469,t,,2025-08-30 07:58:53.792123
40,SHADOWGIT,commit,54.17966842651367,t,,2025-08-31 09:14:23.521677
